Date, Shares, Amount, Open, High, Low, Close, Change, Turnover
113/03/01,12340648,13885865445,1165,1165,1095,1105,-35,19824
113/03/04,12662274,14412286170,1115,1155,1105,1150,+45,18174
113/03/05,8791366,10110507669,1150,1160,1130,1155,+5,11614
113/03/06,10101276,11900123883,1145,1200,1140,1190,+35,18023
113/03/07,15486926,19124067055,1220,1260,1215,1230,+40,27116
113/03/08,16879880,20901360710,1260,1275,1195,1230, 0,29378
113/03/11,5890017,7194112840,1235,1245,1205,1225,-5,13988
113/03/12,5763673,6982065633,1200,1225,1190,1215,-10,10293
113/03/13,7058092,8664872625,1245,1260,1210,1215, 0,10150
113/03/14,13127561,15362729390,1220,1230,1140,1150,-65,29288
113/03/15,8765752,9952629412,1135,1150,1120,1135,-15,12868
113/03/18,6022543,6998166230,1135,1180,1135,1170,+35,9226
113/03/19,8911458,10275345250,1150,1165,1135,1150,-20,11577
113/03/20,6413758,7334841690,1145,1175,1120,1130,-20,14933
113/03/21,6662414,7591384995,1160,1160,1125,1140,+10,10301
113/03/22,6420828,7221186772,1140,1145,1110,1125,-15,12312
113/03/25,3339686,3757398540,1120,1140,1115,1120,-5,7196
113/03/26,6780815,7730813565,1140,1170,1120,1130,+10,9698
113/03/27,6243784,7246200275,1135,1175,1125,1165,+35,11039
113/03/28,7545389,8765813082,1160,1180,1135,1160,-5,10171
